node_id,node_time,simp_error,ets_error,simp_span,ets_span,added_span,wrongly_added_span,dist_from_sample_centroid0,simp_dist_from_sample_centroid,ets_dist_from_sample_centroid
2661.0,1.0,0.3411635872476196,0.34116353159989526,61112721.0,100000000.0,38887279.0,38887279.0,160.1113525060761,160.2051956180246,160.19691852894158
2662.0,1.0,1.6291884072879668,1.6288487915930663,31596008.0,35259938.0,3663930.0,3663930.0,42.16099045023674,41.647413884308854,41.60146031044058
2663.0,1.0,0.6668331876025487,0.6668305383610429,85619789.0,100000000.0,14380211.0,14380211.0,113.62843227138829,113.26603916420446,113.25744761437356
2664.0,1.0,0.6696427164648475,0.6696551017694408,14380211.0,54173574.0,39793363.0,39793363.0,113.62843227138829,112.8460902675987,112.84194780333725
2665.0,1.0,0.6594814500120397,0.659470639159726,47685743.0,100000000.0,52314257.0,52314257.0,114.22910990089466,114.83705430138392,114.74943010980532
2667.0,1.0,0.6623604713711126,0.6624338148533335,89992339.0,96308121.0,6315782.0,6315782.0,114.36230564884535,113.81274955580382,113.79239365275386
2668.0,1.0,0.6622327677643134,0.6625483850155544,10007661.0,48429757.0,38422096.0,38422096.0,114.36230564884535,113.93528139277521,113.90638430203968
2672.0,1.0,1.6851918558753731,1.6858903380196637,18208133.0,100000000.0,81791867.0,81791867.0,56.868525667845404,57.371687962694494,57.59025141596719
2673.0,1.0,1.645022600515482,1.6466117050989033,69287.0,65135327.0,65066040.0,65066040.0,51.03659068527374,50.91272872863318,51.17904174013661
2674.0,1.0,1.6436438601961234,1.6436622101089908,34864673.0,34988134.0,123461.0,123461.0,51.03659068527374,50.475637630988885,50.49658711103074
2675.0,1.0,0.5562688475255196,0.5556082371185105,21433872.0,57180675.0,35746803.0,35746803.0,130.45905441581115,130.63147300583285,130.79266948751163
2676.0,1.0,0.5566384318995108,0.5568716251500516,78566128.0,92850426.0,14284298.0,14284298.0,130.45905441581115,130.39530045736788,130.38523022621797
2677.0,1.0,1.9060159817482552,1.9060987711588746,18267730.0,55530622.0,37262892.0,37262892.0,83.43751208578306,83.2151521001954,83.32296070088084
2678.0,1.0,1.9075478009741738,1.9080755967787537,26604075.0,37310062.0,10705987.0,10705987.0,83.43751208578306,83.07803133282262,83.1950797884736
2679.0,1.0,1.9006225161399362,1.9005429450838327,13180227.0,34121273.0,20941046.0,20941046.0,82.40398842599897,81.57028958673403,81.55978960696739
2680.0,1.0,1.9012941335539102,1.9012887051616378,86819773.0,90979744.0,4159971.0,4159971.0,82.40398842599897,81.87589027298593,81.9070854355011
2681.0,1.0,1.8995554171756068,1.8981016978407668,11852725.0,94080067.0,82227342.0,82227342.0,82.40265641182388,81.73340380092509,81.52728739554428
2683.0,1.0,1.8902469496640897,1.8893097087901927,41013319.0,100000000.0,58986681.0,58986681.0,79.82789058448517,80.41348579884075,80.23302169378474
2685.0,1.0,1.8948241826289323,1.8953299777722066,67430557.0,100000000.0,32569443.0,32569443.0,80.80326678267527,80.18428232288885,80.12777064606779
2687.0,1.0,1.9222277376261054,1.9232125021018514,60655665.0,100000000.0,39344335.0,39344335.0,85.23347047914672,84.97884298111514,85.22405018530378
2688.0,1.0,1.9201934276141102,1.9208105507589288,39344335.0,47979948.0,8635613.0,8635613.0,85.23347047914672,84.52020225145024,84.57610812852562
2689.0,1.0,0.4287414099292045,0.42925131900390995,99096858.0,100000000.0,903142.0,903142.0,145.38882012386279,145.26128850103012,145.32632502848742
2690.0,1.0,0.42363128405335654,0.42446074428328745,67802818.0,100000000.0,32197182.0,32197182.0,146.1581661087056,146.0159111233587,145.99684162330777
2691.0,1.0,0.42717402196453497,0.4279555357527548,54518171.0,100000000.0,45481829.0,45481829.0,146.1581661087056,146.12569058382553,146.07312516889272
2693.0,1.0,1.5397253137588134,1.5400019832768241,71016618.0,100000000.0,28983382.0,28983382.0,33.43201126408514,34.3031311057726,34.36876414324906
2694.0,1.0,1.8628022427162074,1.8653107320356208,12856454.0,45762921.0,32906467.0,32906467.0,76.19434688797219,76.19512967348517,76.53306907489987
2695.0,1.0,1.8665584922047007,1.867131912051633,681006.0,34743526.0,34062520.0,34062520.0,76.19434688797219,76.55779764684236,76.67254861688723
2696.0,1.0,1.8706010905901942,1.8704784191172108,94029106.0,100000000.0,5970894.0,5970894.0,76.72078143252097,76.99955319664252,76.96887520780074
2698.0,1.0,0.5154903774265316,0.5140636651407579,23048766.0,76412140.0,53363374.0,53363374.0,136.2949040165327,136.24183605227122,136.6095973563687
