id,num_children,distinct_children,distinct_parents,num_parents,is_sample,is_root
112,2.0,[169 490],[-1 13],2.0,0,0.0
113,8.0,[ 183  185  251  709  714  787  814 1065],[-1  5 13 14],4.0,0,0.0
114,11.0,[ 136  166  175  183  189  251  324  637  699  898 2509],[-1  5 13 20],4.0,0,0.0
115,6.0,[ 234  242  253  417 1450 1942],[-1  6 22 99],4.0,0,0.0
116,6.0,[ 175  189  588  699  738 2509],[ -1   5 103],3.0,0,0.0
117,7.0,[ 274  281  298  299  331  404 1484],[-1  1  5 13],4.0,0,0.0
118,10.0,[149 160 169 223 238 306 325 353 562 797],[-1 13],2.0,0,0.0
119,10.0,[238 334 342 357 373 394 408 834 848 868],[-1  1 12 39 40 42],6.0,0,0.0
120,2.0,[207 776],[-1 46],2.0,0,0.0
121,17.0,"[ 217  224  227  230  232  293  331  404  412  445  506  544  563  569
  578  585 1484]",[-1  1  5 13 15 17],6.0,0,0.0
122,2.0,[231 401],[-1  1],2.0,0,0.0
123,2.0,[175 588],[ -1 103],2.0,0,0.0
124,3.0,[169 353 490],[-1 12 13],3.0,0,0.0
125,12.0,[ 207  211  235  305  447  452  616  776 1596 1602 1804 2128],[-1 13 16 46 93],5.0,0,0.0
126,4.0,[ 231  314  345 1412],[-1  6 53],3.0,0,0.0
127,5.0,[175 188 191 459 588],[-1  4  5 81 82],5.0,0,0.0
128,16.0,"[ 199  227  230  232  236  238  241  355  424  445  527  577  637  692
  702 1505]",[ -1   5  10  75 104],5.0,0,0.0
129,11.0,[199 228 320 339 350 458 465 491 495 507 637],[-1  1  5  6],4.0,0,0.0
130,2.0,[ 231 1412],[-1 53],2.0,0,0.0
131,2.0,[199 637],[ -1   1 104],3.0,0,0.0
132,6.0,[202 207 521 746 776 825],[-1 46 83 94 97],5.0,0,0.0
133,17.0,[170 196 203 228 236 274 301 317 320 333 354 427 445 458 462 612 637],[-1  5 13],3.0,0,0.0
134,2.0,[506 523],[-1  5],2.0,0,0.0
135,6.0,[199 333 424 520 527 637],[ -1   5 104],3.0,0,0.0
136,9.0,[ 183  189  251  368  421  776  884 1152 2128],[ -1  20  35  51  68 114],6.0,0,0.0
137,6.0,[ 231  362  371  401  581 1085],[-1  1 12],3.0,0,0.0
138,2.0,[252 386],[-1  1 12],3.0,0,0.0
139,8.0,[239 290 392 403 455 475 486 491],[-1 10 13 86],4.0,0,0.0
140,2.0,[377 437],[-1 10],2.0,0,0.0
141,7.0,[232 274 311 355 445 478 531],[-1  5],2.0,0,0.0
142,2.0,[236 702],[-1  5 65],3.0,0,0.0
143,2.0,[228 427],[-1  5],2.0,0,0.0
144,6.0,[ 231  386  608  631 1464 1503],[-1  3],2.0,0,0.0
145,2.0,[245 387],[-1 13],2.0,0,0.0
146,2.0,[245 387],[-1 13],2.0,0,0.0
147,2.0,[ 202 1010],[-1 95],2.0,0,0.0
148,4.0,[202 245 387 625],[-1 13 25 78 81],5.0,0,0.0
149,9.0,[238 325 334 353 357 429 430 562 589],[ -1   1  12  13  70  71 118],7.0,0,0.0
150,4.0,[175 188 450 604],[-1  4  7 13],4.0,0,0.0
151,2.0,[236 692],[-1  5 12],3.0,0,0.0
152,12.0,[ 231  234  314  401  815  978 1118 1179 1184 1308 1350 1412],[-1  1 12 25 53 63],6.0,0,0.0
153,13.0,[ 210  231  267  312  314  322  336  371  400  401  451  524 1586],[ -1   1   6  11  12  21  34  38  98 102],10.0,0,0.0
154,13.0,[ 164  192  208  233  319  467  548  734  785  818 1165 1596 1679],[ -1   1   2  72  84 108],6.0,0,0.0
155,4.0,[252 290 386 475],[-1  1 12 86],4.0,0,0.0
156,2.0,[314 524],[-1  6],2.0,0,0.0
157,11.0,[218 231 238 386 552 564 608 631 645 668 868],[-1  1  3 12],4.0,0,0.0
158,2.0,[186 319],[-1 58 59],3.0,0,0.0
159,34.0,"[ 162  180  186  187  194  205  222  251  266  274  284  287  295  297
  298  301  317  319  331  337  366  377  379  414  437  445  456  465
  478  531  759 1152 1200 1804]",[-1  1  2  5  8 10 13 18 23 44 48 50 59],13.0,0,0.0
160,2.0,[562 797],[ -1 118],2.0,0,0.0
161,8.0,[ 192  198  207  211  221  235  447 1596],[-1  2 81 84 93],5.0,0,0.0
162,8.0,[ 194  232  366  379  456  465  530 1109],[ -1  18  23  67 159],5.0,0,0.0
163,5.0,[252 322 395 400 447],[-1  1],2.0,0,0.0
164,6.0,[192 200 319 385 467 548],[ -1   1   2 154],4.0,0,0.0
165,12.0,[ 199  217  230  272  333  356  360  424  577  583  637 1647],[-1  1  5 10],4.0,0,0.0
166,3.0,[189 421 699],[ -1 114],2.0,0,0.0
167,3.0,[251 714 814],[-1  5 82],3.0,0,0.0
168,4.0,[ 234  242 1350 1450],[-1 22 25],3.0,0,0.0
169,6.0,[242 306 312 313 562 797],[ -1  13 112 118 124],5.0,0,0.0
170,2.0,[333 648],[ -1 133],2.0,0,0.0
171,2.0,[ 234 1350],[-1 25],2.0,0,0.0
172,3.0,[314 476 524],[-1  0  6],3.0,0,0.0
173,13.0,[ 210  231  254  314  336  433  438  451  529  632  654 1350 1379],[-1  0 37 38],4.0,0,0.0
174,3.0,[314 345 524],[-1  6],2.0,0,0.0
175,25.0,"[ 213  214  219  229  244  245  251  265  289  315  324  338  368  377
  387  421  625  659  662  776  789  806  858 1736 2128]",[ -1   5   7  13 103 114 116 123 127 150],10.0,0,0.0
176,13.0,[ 231  242  246  254  562  598  603  608  643  654  721 1137 1505],[-1  0  1 13],4.0,0,0.0
177,5.0,[ 238  246  573  603 1505],[-1  1  5],3.0,0,0.0
178,2.0,[231 386],[-1  3],2.0,0,0.0
179,2.0,[233 785],[-1 25 62 72],4.0,0,0.0
180,5.0,[ 295  714  750  759 1804],[ -1 159],2.0,0,0.0
181,4.0,[ 233  785 1389 1679],[-1  2  8 25],4.0,0,0.0
182,3.0,[231 243 386],[-1  3],2.0,0,0.0
183,10.0,[ 294  310  347  383  536  763  787 1065 1736 2128],[ -1  13  33  35 113 114 136],7.0,0,0.0
184,2.0,[243 386],[-1  1  3 12],4.0,0,0.0
185,2.0,[ 787 1736],[ -1 113],2.0,0,0.0
186,4.0,[ 208  209  434 1307],[ -1  13  58 158 159],5.0,0,0.0
187,2.0,[ 456 1200],[ -1 159],2.0,0,0.0
188,3.0,[450 459 884],[ -1 127 150],3.0,0,0.0
189,9.0,[ 310  328  344  588  681  699  763 2128 2509],[ -1 114 116 136 166],5.0,0,0.0
190,2.0,[238 394],[-1  1],2.0,0,0.0
191,2.0,[459 884],[ -1 127],2.0,0,0.0
192,11.0,[ 304  309  385  413  453  467  474 1144 1207 1270 1383],[ -1  84 154 161 164],5.0,0,0.0
193,6.0,[234 314 345 476 524 570],[ -1   6  26 100],4.0,0,0.0
194,15.0,"[ 208  209  232  277  287  319  379  434  533  573 1109 1200 1307 1623
 1882]",[ -1   1   8  13  25  43  58 159 162],9.0,0,0.0
195,2.0,[250 731],[-1 15],2.0,0,0.0
196,8.0,[ 228  497  506  523  584  670  840 1236],[ -1   5 133],3.0,0,0.0
197,2.0,[250 731],[-1 15],2.0,0,0.0
198,2.0,[ 474 1207],[ -1 161],2.0,0,0.0
199,10.0,[241 250 333 424 432 466 507 520 851 863],[ -1   5 104 105 128 129 131 135 165],9.0,0,0.0
200,2.0,[385 467],[ -1 164],2.0,0,0.0
201,2.0,[ 231 1026],[-1  1],2.0,0,0.0
202,12.0,[ 387  413  428  501  504  538  550  616 1004 1403 1736 1804],[ -1   7  81  95  97 132 147 148],8.0,0,0.0
203,2.0,[637 648],[ -1 133],2.0,0,0.0
204,2.0,[413 504],[-1 56 61 95],4.0,0,0.0
205,3.0,[ 295  759 1804],[ -1 159],2.0,0,0.0
206,2.0,[413 504],[-1 95],2.0,0,0.0
207,17.0,"[ 278  305  413  426  428  447  452  474  504  616 1195 1207 1475 1542
 1804 2462 2616]",[ -1   7  95 120 125 132 161],7.0,0,0.0
208,9.0,[ 319  321  378  390  442  477  653  766 1307],[ -1   8  25  57  58 108 154 186 194],9.0,0,0.0
209,2.0,[ 319 1307],[ -1 186 194],3.0,0,0.0
210,6.0,[ 314  487  512  529  802 1161],[ -1 153 173],3.0,0,0.0
211,4.0,[ 794  807 1596 2128],[ -1 125 161],3.0,0,0.0
212,2.0,[378 442],[-1  8],2.0,0,0.0
213,6.0,[ 248  251  884 1123 1736 2509],[ -1 175],2.0,0,0.0
214,2.0,[ 251 2509],[ -1 175],2.0,0,0.0
215,2.0,[ 238 1022],[-1  1],2.0,0,0.0
216,5.0,[261 349 364 454 455],[-1 12],2.0,0,0.0
217,3.0,[ 296  499 1295],[ -1   1   5  10 121 165],6.0,0,0.0
218,5.0,[ 238  268  609 1022 3139],[ -1   1 157],3.0,0,0.0
219,2.0,[ 884 1736],[ -1 175],2.0,0,0.0
220,3.0,[245 338 387],[-1  7 13 19],4.0,0,0.0
221,3.0,[1313 1403 1596],[ -1 161],2.0,0,0.0
222,2.0,[ 366 1882],[ -1 159],2.0,0,0.0
223,2.0,[353 797],[ -1 118],2.0,0,0.0
